ID	gene_name	Especie	KO	LFC	DE	node_type	top_pathway
YP_001086196.1	A1S_3201	aci	K01000	-0.017656716036217546	yes	gene	Peptidoglycan biosynthesis
WP_002888562.1	mraY	kleb	K01000	2.1296055224064263	yes	gene	Peptidoglycan biosynthesis
NP_253496.1	selA	pseu	K01042	0.4556493780041997	yes	gene	Aminoacyl-tRNA biosynthesis
WP_004186109.1	selA	kleb	K01042	4.6020628748235355	yes	gene	Aminoacyl-tRNA biosynthesis
NP_251986.1	phoA	pseu	K01077	-0.11441848579642411	yes	gene	Folate biosynthesis
WP_004147286.1	phoA	kleb	K01077	1.3401162151306005	yes	gene	Folate biosynthesis
NP_253634.1	amiB	pseu	K01448	0.047914596481870575	yes	gene	Cationic antimicrobial peptide (CAMP) resistance
NP_254225.1	amiA	pseu	K01448	-0.18283125091353725	yes	gene	Cationic antimicrobial peptide (CAMP) resistance
WP_004174538.1	amiC	kleb	K01448	2.2140607226847004	yes	gene	Cationic antimicrobial peptide (CAMP) resistance
NP_250365.1	folE2	pseu	K01495	0.0174805614519844	yes	gene	Folate biosynthesis
NP_252128.1	folE1	pseu	K01495	0.26430649370493065	yes	gene	Folate biosynthesis
YP_001085387.1	A1S_2366	aci	K01495	-0.16042088447503744	yes	gene	Folate biosynthesis
WP_002912924.1	folE	kleb	K01495	3.2813413627211583	yes	gene	Folate biosynthesis
NP_252736.1	ribA	pseu	K01497	-0.1863809656376425	yes	gene	Folate biosynthesis
YP_001086106.1	ribA	aci	K01497	-0.12015481774023762	yes	gene	Folate biosynthesis
WP_002901778.1	ribA	kleb	K01497	-1.1597537528558872	yes	gene	Folate biosynthesis
NP_250449.1	pabB	pseu	K01665	-0.08190202289768322	yes	gene	Folate biosynthesis
YP_001083735.1	A1S_0689	aci	K01665	-0.23128912420265202	yes	gene	Folate biosynthesis
WP_004189289.1	pabB	kleb	K01665	1.2662210676426664	yes	gene	Folate biosynthesis
NP_251356.1	PA2666	pseu	K01737	-0.17147685052853312	yes	gene	Folate biosynthesis
YP_001084595.1	A1S_1566	aci	K01737	0.14271285715607718	yes	gene	Folate biosynthesis
WP_004174641.1	queD	kleb	K01737	1.6735267772072548	yes	gene	Folate biosynthesis
NP_249359.1	tyrZ	pseu	K01866	-0.19678509670800715	yes	gene	Aminoacyl-tRNA biosynthesis
NP_252827.1	tyrS	pseu	K01866	-0.7454941575952478	yes	gene	Aminoacyl-tRNA biosynthesis
YP_001083113.1	A1S_0014	aci	K01866	-0.25688650255961853	yes	gene	Aminoacyl-tRNA biosynthesis
WP_002907740.1	tyrS	kleb	K01866	1.0457783430788359	yes	gene	Aminoacyl-tRNA biosynthesis
NP_253129.1	trpS	pseu	K01867	0.17224665681398932	yes	gene	Aminoacyl-tRNA biosynthesis
YP_001085735.1	A1S_2720	aci	K01867	-0.20966782977311915	yes	gene	Aminoacyl-tRNA biosynthesis
WP_025862024.1	trpS	kleb	K01867	-1.2768489786693245	yes	gene	Aminoacyl-tRNA biosynthesis
WP_002920253.1	trpS	kleb	K01867	-1.2768489786693245	yes	gene	Aminoacyl-tRNA biosynthesis
NP_251434.1	thrS	pseu	K01868	0.11968696930204814	yes	gene	Aminoacyl-tRNA biosynthesis
YP_001083645.1	A1S_0592	aci	K01868	-0.2169261369662241	yes	gene	Aminoacyl-tRNA biosynthesis
WP_002910026.1	thrS	kleb	K01868	1.35123059116557	yes	gene	Aminoacyl-tRNA biosynthesis
WP_004150566.1	thrS	kleb	K01868	1.35123059116557	yes	gene	Aminoacyl-tRNA biosynthesis
NP_252676.1	leuS	pseu	K01869	-0.056697083144008786	yes	gene	Aminoacyl-tRNA biosynthesis
YP_001083596.1	A1S_0541	aci	K01869	-0.20518929726652502	yes	gene	Aminoacyl-tRNA biosynthesis
YP_001083597.1	A1S_0542	aci	K01869	-0.19481856527922048	yes	gene	Aminoacyl-tRNA biosynthesis
WP_004147581.1	leuS	kleb	K01869	2.8428760960293413	yes	gene	Aminoacyl-tRNA biosynthesis
NP_249594.1	alaS	pseu	K01872	-0.0006208723792813231	yes	gene	Aminoacyl-tRNA biosynthesis
